Area_SqFt,Bedrooms,Bathrooms,Stories,House_Age_Years,Garage_Cars,Neighborhood,Furnishing,Has_Pool,Price
3061.1,4,1,3,13.0,3,Waterfront,Semi-Furnished,No,742765.18
2516.2,3,1,1,11.0,1,Suburbs,Furnished,No,471640.22
1240.3,3,3,1,27.0,1,Waterfront,Semi-Furnished,No,426388.79
1757.9,5,2,2,43.0,2,Suburbs,Furnished,No,458946.02
2633.5,3,3,2,28.0,2,Oldtown,Unfurnished,No,558274.69
1646.2,3,2,3,42.0,3,Suburbs,Semi-Furnished,No,482214.26
2221.9,2,2,1,16.0,0,Highland,Semi-Furnished,No,430660.04
2387.3,3,1,2,39.0,1,Downtown,Unfurnished,No,471986.85
1536.5,3,4,2,48.0,1,Downtown,Semi-Furnished,No,429737.36
1970.2,4,2,1,20.0,2,Highland,Unfurnished,No,486322.96
600.0,3,4,1,22.0,2,Suburbs,Semi-Furnished,No,310993.95
1487.8,3,2,1,19.0,1,Suburbs,Semi-Furnished,Yes,410235.16
1873.7,5,2,1,10.0,2,Downtown,Semi-Furnished,No,482116.42
1376.1,2,2,3,33.0,2,Waterfront,Furnished,No,501886.74
2816.2,3,2,2,9.0,2,Waterfront,Semi-Furnished,No,715851.12
1284.9,1,3,2,9.0,0,Downtown,Semi-Furnished,No,395172.46
1780.0,4,4,3,42.0,2,Highland,Semi-Furnished,Yes,634041.12
2065.4,5,3,1,5.0,2,Waterfront,Furnished,No,672003.37
2720.6,3,3,2,35.0,2,Highland,Semi-Furnished,No,613839.35
1282.1,4,2,1,23.0,2,Suburbs,Semi-Furnished,No,397070.66
2581.6,3,2,2,11.0,1,Highland,Unfurnished,No,540194.87
2005.1,5,4,1,42.0,1,Downtown,Semi-Furnished,No,463063.27
1509.2,4,1,3,22.0,2,Suburbs,Unfurnished,No,427613.76
2231.1,4,3,1,26.0,1,Downtown,Semi-Furnished,No,476642.98
2099.5,1,3,1,44.0,2,Highland,Furnished,No,524183.61
1699.9,5,2,2,36.0,2,Downtown,Semi-Furnished,No,494557.33
2034.9,4,4,1,5.0,2,Oldtown,Semi-Furnished,Yes,548950.1
1807.3,3,2,2,0.0,1,Suburbs,Semi-Furnished,No,443978.94
2056.8,4,2,1,5.0,1,Downtown,Semi-Furnished,No,500522.58
2331.1,3,1,2,49.0,2,Suburbs,Semi-Furnished,No,432873.56
2793.0,4,2,1,21.0,0,Suburbs,Semi-Furnished,No,536474.01
1381.1,2,2,1,40.0,2,Suburbs,Unfurnished,No,345447.81
3066.5,4,2,1,23.0,2,Suburbs,Unfurnished,No,546307.97
1024.0,3,3,1,24.0,2,Downtown,Semi-Furnished,No,365497.01
1924.1,2,4,1,14.0,2,Suburbs,Semi-Furnished,No,490172.72
2294.2,2,1,1,25.0,1,Suburbs,Unfurnished,No,438813.54
2140.5,1,2,1,7.0,1,Downtown,Semi-Furnished,No,479766.64
1688.7,3,4,1,23.0,3,Waterfront,Unfurnished,No,515765.07
1895.9,3,1,2,47.0,3,Highland,Unfurnished,No,445812.81
1753.5,3,1,2,37.0,2,Highland,Semi-Furnished,No,452836.78
1705.3,3,1,1,5.0,3,Suburbs,Semi-Furnished,No,417639.12
2424.8,3,2,2,34.0,2,Highland,Semi-Furnished,No,528240.82
2178.5,4,1,2,41.0,1,Oldtown,Semi-Furnished,No,406547.06
1653.5,1,4,1,0.0,1,Downtown,Furnished,No,475726.0
2449.8,5,2,2,45.0,3,Downtown,Semi-Furnished,No,552498.66
2153.6,4,2,1,35.0,1,Downtown,Unfurnished,No,477936.23
2406.4,3,2,2,11.0,2,Downtown,Semi-Furnished,No,539054.19
2314.8,3,2,1,37.0,2,Downtown,Unfurnished,No,459473.76
1585.5,4,2,2,10.0,2,Highland,Furnished,No,503293.0
1719.9,2,3,2,11.0,2,Suburbs,Unfurnished,No,485162.05
2373.6,2,3,1,41.0,1,Oldtown,Semi-Furnished,Yes,503769.61
2305.2,2,2,1,49.0,1,Downtown,Unfurnished,No,447543.81
1989.5,4,4,3,38.0,2,Suburbs,Furnished,No,563302.19
2058.7,1,3,1,6.0,2,Oldtown,Semi-Furnished,No,438165.12
2638.8,3,3,2,10.0,2,Waterfront,Furnished,Yes,733658.25
1704.2,5,1,3,35.0,2,Suburbs,Unfurnished,No,410255.82
2273.5,4,1,2,30.0,1,Highland,Unfurnished,No,517114.84
1898.9,3,2,2,32.0,2,Waterfront,Unfurnished,No,541851.86
1891.2,2,2,2,12.0,2,Suburbs,Furnished,Yes,475856.49
2549.4,4,2,2,17.0,1,Downtown,Furnished,Yes,659842.94
2412.7,3,2,1,40.0,2,Waterfront,Unfurnished,Yes,600226.2
2406.8,2,3,1,23.0,2,Suburbs,Unfurnished,No,514545.03
2652.7,2,3,1,8.0,2,Downtown,Semi-Furnished,No,612037.18
2010.5,5,4,3,30.0,1,Suburbs,Unfurnished,Yes,502208.51
2341.0,3,2,2,40.0,2,Suburbs,Unfurnished,Yes,529282.12
1844.9,4,2,1,9.0,0,Oldtown,Unfurnished,No,387269.59
2162.1,4,2,2,1.0,0,Downtown,Unfurnished,No,438702.68
1934.9,3,1,1,37.0,2,Oldtown,Unfurnished,No,346478.24
2048.5,3,1,1,14.0,2,Suburbs,Unfurnished,Yes,459654.54
2297.6,3,2,2,2.0,2,Suburbs,Semi-Furnished,Yes,594450.71
1590.9,3,2,1,42.0,1,Downtown,Furnished,Yes,441100.81
3046.2,3,3,2,30.0,0,Highland,Semi-Furnished,Yes,654246.27
,4,1,1,5.0,2,Oldtown,Semi-Furnished,Yes,421735.75
1392.9,3,3,2,2.0,0,Suburbs,Unfurnished,No,417946.29
2579.1,4,2,2,10.0,0,Downtown,Semi-Furnished,No,566512.43
2395.8,3,2,1,14.0,1,Highland,Semi-Furnished,No,534771.15
2312.1,3,2,3,44.0,2,Waterfront,Semi-Furnished,No,574068.86
2314.2,3,2,2,27.0,1,Downtown,Unfurnished,No,496296.72
1993.9,3,2,1,9.0,2,Highland,Furnished,Yes,640011.99
1551.4,4,2,1,37.0,0,Highland,Unfurnished,No,399646.42
2037.9,2,1,2,46.0,1,Suburbs,Semi-Furnished,No,368864.7
1661.4,3,1,1,,2,Suburbs,Furnished,No,423881.79
2487.6,2,2,1,49.0,1,Downtown,Semi-Furnished,No,450122.34
1926.5,3,4,1,6.0,2,Waterfront,Semi-Furnished,No,633834.16
1587.3,3,2,1,14.0,0,Highland,Furnished,No,430515.17
1839.3,3,3,2,17.0,2,Suburbs,Semi-Furnished,No,489870.08
2206.5,5,2,1,17.0,1,Suburbs,Unfurnished,No,484846.63
1718.1,3,4,1,40.0,1,Suburbs,Furnished,No,441987.32
1588.9,4,3,1,23.0,2,Waterfront,Unfurnished,No,520333.28
2121.8,3,2,1,1.0,3,Suburbs,Furnished,No,504500.38
2122.5,3,2,3,39.0,0,Suburbs,Unfurnished,No,398772.52
1746.5,2,3,1,19.0,2,Suburbs,Semi-Furnished,No,447132.5
1764.5,3,2,3,33.0,2,Suburbs,Semi-Furnished,No,433069.84
2116.0,3,2,1,42.0,2,Suburbs,Furnished,Yes,482772.75
1276.0,3,1,1,25.0,2,Downtown,Semi-Furnished,No,435798.04
1296.3,1,3,2,6.0,1,Downtown,Unfurnished,No,453585.81
1640.8,2,3,1,37.0,3,Waterfront,Semi-Furnished,No,541013.95
1893.3,3,1,2,29.0,1,Downtown,Unfurnished,No,433430.96
2155.5,5,2,3,41.0,1,Downtown,Furnished,No,520144.04
2737.7,3,2,1,4.0,2,Waterfront,Furnished,No,656090.35
2428.8,3,1,1,10.0,2,Downtown,Semi-Furnished,No,512951.18
1920.0,2,4,2,0.0,2,Highland,Furnished,No,585411.1
1990.5,3,2,1,33.0,2,Suburbs,Unfurnished,No,444085.97
1498.7,3,1,1,0.0,2,Downtown,Semi-Furnished,No,376089.83
1990.7,2,2,1,18.0,1,Suburbs,Semi-Furnished,No,475970.39
1855.7,3,3,1,1.0,2,Downtown,Semi-Furnished,Yes,559681.1
2161.4,1,1,2,20.0,1,Waterfront,Unfurnished,No,464595.7
1586.4,1,2,1,19.0,2,Suburbs,Furnished,No,403503.01
2259.7,2,2,1,22.0,3,Downtown,Unfurnished,No,481199.52
2766.4,1,1,2,20.0,1,Downtown,Semi-Furnished,Yes,531650.83
1945.6,2,1,1,23.0,2,Suburbs,Unfurnished,No,366314.34
2200.9,3,2,1,3.0,0,Downtown,Furnished,No,497090.55
2345.1,4,2,2,11.0,0,Suburbs,Unfurnished,No,536776.53
1799.4,3,4,1,21.0,3,Suburbs,Semi-Furnished,No,507043.41
2112.0,3,3,2,19.0,1,Waterfront,Unfurnished,No,595992.79
2006.3,3,4,2,17.0,2,Suburbs,Semi-Furnished,No,553818.4
2048.8,5,2,1,0.0,2,Highland,Semi-Furnished,No,554241.66
1613.5,3,4,2,29.0,2,Oldtown,Semi-Furnished,No,424793.91
2012.3,2,2,1,32.0,2,Downtown,Unfurnished,No,400102.07
2249.0,3,2,1,23.0,2,Waterfront,Furnished,No,594593.59
2725.6,2,1,2,13.0,2,Waterfront,Unfurnished,No,645067.02
